Name,Genres,Type,Episodes,Aired,Members,Score
Cowboy Bebop,"Action, Award Winning, Sci-Fi",TV,26,"Apr 3, 1998 to Apr 24, 1999",1771505,8.75
Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",Movie,1,"Sep 1, 2001",360978,8.38
Trigun,"Action, Adventure, Sci-Fi",TV,26,"Apr 1, 1998 to Sep 30, 1998",727252,8.22
Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",TV,26,"Jul 3, 2002 to Dec 25, 2002",111931,7.25
Bouken Ou Beet,"Adventure, Fantasy, Supernatural",TV,52,"Sep 30, 2004 to Sep 29, 2005",15001,6.94
Eyeshield 21,Sports,TV,145,"Apr 6, 2005 to Mar 19, 2008",177688,7.92
Hachimitsu to Clover,"Comedy, Drama, Romance",TV,24,"Apr 15, 2005 to Sep 27, 2005",260166,8.0
Hungry Heart: Wild Striker,"Comedy, Slice of Life, Sports",TV,52,"Sep 11, 2002 to Sep 10, 2003",24172,7.55
Initial D Fourth Stage,"Action, Drama",TV,24,"Apr 17, 2004 to Feb 18, 2006",173710,8.16
Monster,"Drama, Mystery, Suspense",TV,74,"Apr 7, 2004 to Sep 28, 2005",1013100,8.87
Naruto,"Action, Adventure, Fantasy",TV,220,"Oct 3, 2002 to Feb 8, 2007",2717330,7.99
One Piece,"Action, Adventure, Fantasy",TV,0,"Oct 20, 1999 to ?",2168904,8.69
Tennis no Ouji-sama,Sports,TV,178,"Oct 10, 2001 to Mar 23, 2005",178273,7.86
Ring ni Kakero 1,"Action, Sports",TV,12,"Oct 6, 2004 to Dec 15, 2004",4581,6.39
School Rumble,"Comedy, Romance",TV,26,"Oct 5, 2004 to Mar 29, 2005",320203,7.89
Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,24,"Oct 6, 2004 to Mar 30, 2005",134894,7.38
Texhnolyze,"Action, Drama, Sci-Fi",TV,22,"Apr 17, 2003 to Sep 25, 2003",239423,7.76
Trinity Blood,"Action, Supernatural",TV,24,"Apr 29, 2005 to Oct 28, 2005",179583,7.29
Yakitate!! Japan,"Comedy, Gourmet",TV,69,"Oct 12, 2004 to Mar 14, 2006",95380,7.91
Zipang,"Action, Drama, Sci-Fi",TV,26,"Oct 8, 2004 to Apr 1, 2005",21391,7.48
Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,26,"Oct 4, 1995 to Mar 27, 1996",1718019,8.35
Neon Genesis Evangelion: Death & Rebirth,"Drama, Sci-Fi",Movie,1,"Mar 15, 1997",251617,7.46
Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi",Movie,1,"Jul 19, 1997",879361,8.55
Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",TV,25,"Oct 8, 1997 to Apr 1, 1998",608800,8.56
Koukaku Kidoutai,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,1,"Nov 18, 1995",604276,8.27
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",OVA,4,"Feb 20, 1999 to Sep 22, 1999",268621,8.71
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Romance",TV,94,"Jan 10, 1996 to Sep 8, 1998",477389,8.29
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,Movie,1,"Dec 20, 1997",50732,7.55
Akira,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,1,"Jul 16, 1988",804581,8.16
.hack//Sign,"Adventure, Fantasy, Mystery",TV,26,"Apr 4, 2002 to Sep 26, 2002",178659,6.95
Aa! Megami-sama!,"Comedy, Romance, Supernatural",OVA,5,"Feb 21, 1993 to May 17, 1994",52627,7.29
Aa! Megami-sama! (TV),"Comedy, Romance, Supernatural",TV,24,"Jan 7, 2005 to Jul 8, 2005",155745,7.32
Tenshi Kinryouku,"Action, Drama, Romance, Supernatural",OVA,3,"May 25, 2000 to Aug 25, 2000",48258,6.27
Kidou Tenshi Angelic Layer,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,26,"Apr 1, 2001 to Sep 23, 2001",57259,7.26
Ai Yori Aoshi,"Comedy, Drama, Romance",TV,24,"Apr 11, 2002 to Sep 26, 2002",108460,7.11
Appleseed (Movie),"Action, Drama, Sci-Fi",Movie,1,"Apr 17, 2004",72186,7.06
Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,"Apr 5, 1999 to Oct 11, 1999",16013,6.51
Avenger,"Adventure, Fantasy, Sci-Fi",TV,13,"Oct 2, 2003 to Dec 25, 2003",17396,5.86
Beck,"Comedy, Drama, Slice of Life",TV,26,"Oct 7, 2004 to Mar 31, 2005",327015,8.29
Blue Gender,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,26,"Oct 8, 1999 to Mar 31, 2000",78193,7.03
Chobits,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,26,"Apr 3, 2002 to Sep 25, 2002",469408,7.4
Chrno Crusade,"Action, Romance, Supernatural",TV,24,"Nov 25, 2003 to Jun 10, 2004",221814,7.62
D.N.Angel,"Action, Comedy, Fantasy, Romance",TV,26,"Apr 3, 2003 to Sep 25, 2003",182259,7.17
D.C.: Da Capo,"Drama, Romance",TV,26,"Jul 5, 2003 to Dec 27, 2003",74844,6.72
DearS,"Comedy, Romance, Sci-Fi, Ecchi",TV,12,"Jul 11, 2004 to Sep 26, 2004",145533,6.56
Rozen Maiden,"Action, Comedy, Drama",TV,12,"Oct 8, 2004 to Dec 24, 2004",199570,7.41
Rozen Maiden: Träumend,"Action, Comedy, Drama",TV,12,"Oct 21, 2005 to Jan 27, 2006",102972,7.62
Azumanga Daiou The Animation,"Comedy, Slice of Life",TV,26,"Apr 9, 2002 to Oct 1, 2002",327945,7.99
Basilisk: Kouga Ninpou Chou,"Action, Drama, Romance",TV,24,"Apr 13, 2005 to Sep 21, 2005",182074,7.55
Black Cat (TV),"Action, Adventure, Sci-Fi",TV,23,"Oct 7, 2005 to Mar 31, 2006",264622,7.33
Cluster Edge,"Action, Fantasy, Sci-Fi",TV,25,"Oct 5, 2005 to Mar 29, 2006",10561,6.31
Full Metal Panic!,"Action, Comedy, Sci-Fi",TV,24,"Jan 8, 2002 to Jun 18, 2002",482069,7.61
Full Metal Panic? Fumoffu,"Action, Comedy",TV,12,"Aug 26, 2003 to Nov 18, 2003",289064,8.03
Full Metal Panic! The Second Raid,Action,TV,13,"Jul 14, 2005 to Oct 20, 2005",255279,7.93
Gakuen Alice,"Comedy, Fantasy",TV,26,"Oct 30, 2004 to May 14, 2005",97186,7.64
Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Sci-Fi",TV,25,"Jul 5, 2004 to Dec 27, 2004",47077,7.26
Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",TV,13,"Oct 3, 2004 to Dec 26, 2004",101048,7.41
Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",TV,13,"Oct 2, 2005 to Dec 25, 2005",63640,7.97
Shuffle!,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,24,"Jul 8, 2005 to Jan 6, 2006",273378,7.03
Kidou Senshi Gundam,"Action, Drama, Sci-Fi",TV,43,"Apr 7, 1979 to Jan 26, 1980",126804,7.76
Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",OVA,12,"Jan 25, 1996 to Jul 25, 1999",79682,8.01
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",OVA,6,"Mar 25, 1989 to Aug 25, 1989",56839,7.96
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama, Romance, Sci-Fi",Movie,1,"Aug 1, 1998",13284,6.76
Kidou Senshi Gundam 0083: Stardust Memory,"Adventure, Drama, Romance, Sci-Fi",OVA,13,"May 23, 1991 to Sep 24, 1992",42580,7.24
Kidou Senshi Zeta Gundam,"Drama, Romance, Sci-Fi",TV,50,"Mar 2, 1985 to Feb 22, 1986",70651,7.9
Kidou Senshi Gundam ZZ,"Comedy, Drama, Sci-Fi",TV,47,"Mar 1, 1986 to Jan 31, 1987",40669,6.68
Kidou Senshi Gundam: Gyakushuu no Char,"Drama, Sci-Fi",Movie,1,"Mar 12, 1988",46928,7.66
Kidou Senshi Gundam F91,"Drama, Sci-Fi",Movie,1,"Mar 16, 1991",30560,6.62
Kidou Senshi Victory Gundam,"Drama, Sci-Fi",TV,51,"Apr 2, 1993 to Mar 25, 1994",26469,6.77
Shin Kidou Senki Gundam Wing,"Action, Drama, Sci-Fi",TV,49,"Apr 7, 1995 to Mar 29, 1996",155744,7.69
Shin Kidou Senki Gundam Wing: Endless Waltz,"Action, Award Winning, Drama, Sci-Fi",OVA,3,"Jan 25, 1997 to Jul 25, 1997",47208,7.74
